average_price,type,year,geography
1.22,Conventional,2015,Albany
1.79,Organic,2015,Albany
1,Conventional,2015,Atlanta
1.76,Organic,2015,Atlanta
1.08,Conventional,2015,Baltimore/Washington
1.29,Organic,2015,Baltimore/Washington
1.01,Conventional,2015,Boise
1.64,Organic,2015,Boise
1.02,Conventional,2015,Boston
1.83,Organic,2015,Boston
1.4,Conventional,2015,Buffalo/Rochester
1.73,Organic,2015,Buffalo/Rochester
0.93,Conventional,2015,California
1.24,Organic,2015,California
1.19,Conventional,2015,Charlotte
2.13,Organic,2015,Charlotte
1.11,Conventional,2015,Chicago
1.49,Organic,2015,Chicago
0.88,Conventional,2015,Cincinnati/Dayton
1.34,Organic,2015,Cincinnati/Dayton
0.89,Conventional,2015,Columbus
1.44,Organic,2015,Columbus
0.74,Conventional,2015,Dallas/Ft. Worth
1.35,Organic,2015,Dallas/Ft. Worth
0.99,Conventional,2015,Denver
1.42,Organic,2015,Denver
1.01,Conventional,2015,Detroit
1.7,Organic,2015,Detroit
0.95,Conventional,2015,Grand Rapids
1.6,Organic,2015,Grand Rapids
1.02,Conventional,2015,Great Lakes
1.54,Organic,2015,Great Lakes
1.05,Conventional,2015,Harrisburg/Scranton
1.68,Organic,2015,Harrisburg/Scranton
1.06,Conventional,2015,Hartford/Springfield
2.32,Organic,2015,Hartford/Springfield
0.71,Conventional,2015,Houston
1.22,Organic,2015,Houston
1.02,Conventional,2015,Indianapolis
1.63,Organic,2015,Indianapolis
0.97,Conventional,2015,Jacksonville
1.81,Organic,2015,Jacksonville
0.8,Conventional,2015,Las Vegas
1.5,Organic,2015,Las Vegas
0.85,Conventional,2015,Los Angeles
1.25,Organic,2015,Los Angeles
0.92,Conventional,2015,Louisville
1.48,Organic,2015,Louisville
0.97,Conventional,2015,Miami/Ft. Lauderdale
1.82,Organic,2015,Miami/Ft. Lauderdale
1.1,Conventional,2015,Midsouth
1.56,Organic,2015,Midsouth
1,Conventional,2015,Nashville
1.84,Organic,2015,Nashville
0.94,Conventional,2015,New Orleans/Mobile
1.41,Organic,2015,New Orleans/Mobile
1.09,Conventional,2015,New York
1.93,Organic,2015,New York
1.09,Conventional,2015,Northeast
1.88,Organic,2015,Northeast
1.05,Conventional,2015,Northern New England
1.83,Organic,2015,Northern New England
1,Conventional,2015,Orlando
1.8,Organic,2015,Orlando
1.1,Conventional,2015,Philadelphia
1.72,Organic,2015,Philadelphia
0.65,Conventional,2015,Phoenix/Tucson
1.12,Organic,2015,Phoenix/Tucson
1.52,Conventional,2015,Pittsburgh
1.81,Organic,2015,Pittsburgh
1.01,Conventional,2015,Plains
1.69,Organic,2015,Plains
0.97,Conventional,2015,Portland
1.28,Organic,2015,Portland
1.2,Conventional,2015,Raleigh/Greensboro
2.01,Organic,2015,Raleigh/Greensboro
1.13,Conventional,2015,Richmond/Norfolk
1.54,Organic,2015,Richmond/Norfolk
1.13,Conventional,2015,Roanoke
1.39,Organic,2015,Roanoke
1.05,Conventional,2015,Sacramento
1.33,Organic,2015,Sacramento
0.94,Conventional,2015,San Diego
1.23,Organic,2015,San Diego
0.99,Conventional,2015,San Francisco
1.18,Organic,2015,San Francisco
0.97,Conventional,2015,Seattle
1.49,Organic,2015,Seattle
1.01,Conventional,2015,South Carolina
1.86,Organic,2015,South Carolina
0.77,Conventional,2015,South Central
1.35,Organic,2015,South Central
0.98,Conventional,2015,Southeast
1.75,Organic,2015,Southeast
1,Conventional,2015,Spokane
1.3,Organic,2015,Spokane
1.15,Conventional,2015,St. Louis
1.8,Organic,2015,St. Louis
1.33,Conventional,2015,Syracuse
1.72,Organic,2015,Syracuse
0.97,Conventional,2015,Tampa
1.7,Organic,2015,Tampa
0.89,Conventional,2015,West
1.4,Organic,2015,West
0.75,Conventional,2015,West Tex/New Mexico
1.64,Organic,2015,West Tex/New Mexico
1.24,Conventional,2015,Albany
1.77,Organic,2015,Albany
1.11,Conventional,2015,Atlanta
1.84,Organic,2015,Atlanta
1.17,Conventional,2015,Baltimore/Washington
1.22,Organic,2015,Baltimore/Washington
1.18,Conventional,2015,Boise
1.44,Organic,2015,Boise
1.1,Conventional,2015,Boston
1.94,Organic,2015,Boston
1.54,Conventional,2015,Buffalo/Rochester
1.59,Organic,2015,Buffalo/Rochester
0.92,Conventional,2015,California
1.1,Organic,2015,California
1.26,Conventional,2015,Charlotte
2.29,Organic,2015,Charlotte
1.15,Conventional,2015,Chicago
1.79,Organic,2015,Chicago
0.92,Conventional,2015,Cincinnati/Dayton
1.32,Organic,2015,Cincinnati/Dayton
0.97,Conventional,2015,Columbus
1.68,Organic,2015,Columbus
0.76,Conventional,2015,Dallas/Ft. Worth
1.35,Organic,2015,Dallas/Ft. Worth
1.09,Conventional,2015,Denver
1.28,Organic,2015,Denver
1.08,Conventional,2015,Detroit
1.87,Organic,2015,Detroit
1.03,Conventional,2015,Grand Rapids
1.87,Organic,2015,Grand Rapids
1.1,Conventional,2015,Great Lakes
1.69,Organic,2015,Great Lakes
1.26,Conventional,2015,Harrisburg/Scranton
1.65,Organic,2015,Harrisburg/Scranton
1.38,Conventional,2015,Hartford/Springfield
2.28,Organic,2015,Hartford/Springfield
0.78,Conventional,2015,Houston
1.26,Organic,2015,Houston
1.25,Conventional,2015,Indianapolis
1.83,Organic,2015,Indianapolis
1.2,Conventional,2015,Jacksonville
1.91,Organic,2015,Jacksonville
0.93,Conventional,2015,Las Vegas
1.54,Organic,2015,Las Vegas
0.85,Conventional,2015,Los Angeles
1.08,Organic,2015,Los Angeles
1.05,Conventional,2015,Louisville
1.79,Organic,2015,Louisville
1.28,Conventional,2015,Miami/Ft. Lauderdale
1.85,Organic,2015,Miami/Ft. Lauderdale
1.17,Conventional,2015,Midsouth
1.52,Organic,2015,Midsouth
1.07,Conventional,2015,Nashville
1.92,Organic,2015,Nashville
0.97,Conventional,2015,New Orleans/Mobile
1.44,Organic,2015,New Orleans/Mobile
1.34,Conventional,2015,New York
2.03,Organic,2015,New York
1.28,Conventional,2015,Northeast
1.86,Organic,2015,Northeast
1.06,Conventional,2015,Northern New England
1.88,Organic,2015,Northern New England
1.29,Conventional,2015,Orlando
